Series,Contestant,PPT,Prize,Subjective,Objective,Fastest,Live,Team,Highest,Lowest,Age,Gender,GregHarshnessRating,Seat,Height,Handedness,Children,Winner,Place,ChineseYear,FacialHair,HairColour,Books,Helped,RefusedHelp,Headwear,ComedyAward,Diet,OutfitColor,Language,SecondLanguage,Siblings,BirthOrder
15,Ivo Graham,2.62,2.9,3.14,2.21,0.5,2.1,3,21,7,35,M,0.88,2,170,,1,N,5,Horse,Stubble beard,Brown,0,,,N,Nom,Meat,Green,No,,1,Oldest
16,Sam Campbell,3.22,2.8,3.13,3.3,3.27,3.7,3.83,24,10,64,M,0.94,3,171,,0,Y,1,Monkey,N,Brown,0,,,N,Y,Inconclusive,Blue,No,,NA,NA
16,Julian Clary,3.1,3.5,3.35,2.89,3.55,3.4,3.83,19,9,40,M,0.94,1,189,,0,N,2,Pig,N,Blonde,18,,,N,N,Meat,White,No,,2,Youngest
16,Susan Wokoma,2.78,2.8,3.22,2.41,2.82,2.7,2.83,19,6,31,F,0.94,5,163,,0,N,3,Rabbit,N,Black,0,,,N,N,Meat,Red,No,,1,Youngest
16,Sue Perkins,2.74,3.6,3.65,1.96,1.64,2.7,2.83,20,6,53,F,0.94,4,166,,0,N,4,Rooster,N,Black,2,,,N,N,Meat,Grey,Yes,French,2,Oldest
16,Lucy Beaumont,2.58,2.7,2.61,2.56,2.27,3,3.83,20,7,35,F,0.94,2,154.9,,1,N,5,Pig,N,Blonde,1,,,N,Nom,Meat,Black,No,,NA,NA
17,John Robins,3.84,3.2,3.65,4.04,3.5,3.9,5.13,22,17,40,M,0.91,2,180,,0,Y,1,Dog,Stubble beard,Brown,2.5,,,N,Y,Vegan,Yellow,Yes,French (basic),1,NA
17,Joanne McNally,3.42,3,3.19,3.67,3.63,3.3,5.13,20,12,41,F,0.91,1,171.7,,0,N,2,Pig,N,Blonde,0,,,N,N,No red meat,Red,No,,1,Youngest
17,Steve Pemberton,3.06,3.9,3.58,2.5,2.5,2.5,2.88,21,8,43,M,0.91,5,175,,3,N,3,Sheep,N,Grey,0,,,N,Y,Meat,Black,Yes,French & German,NA,NA
17,Sophie Willan,2.88,2.7,2.85,2.92,2.63,2.8,5.13,21,8,36,F,0.91,4,162.56,,0,N,4,Rabbit,N,Red,2,,,N,Nom,Meat,Pink,No,,NA,NA
